roi_name,row_start,row_stop,column_start,column_stop,poly_type,polygon_vertices
ROI_000,256.0,5056.0,256.0,5120.0,rectangle,"[[5056. 5120.]
 [5056.  256.]
 [ 256.  256.]
 [ 256. 5120.]]"
ROI_001,128.0,4992.0,6912.0,11776.0,rectangle,"[[ 4992. 11776.]
 [ 4992.  6912.]
 [  128.  6912.]
 [  128. 11776.]]"
